action,type,guard,break_glass,registry_line,domain,current_owner,direct_branch_line,target_owner
a:bc_cancel,ops,none,False,146,broadcasts,src/bot/bot.js,32967,src/bot/domains/broadcasts/callbacks.js
a:bc_confirm,ops,require_redis,False,147,broadcasts,src/bot/bot.js,32835,src/bot/domains/broadcasts/callbacks.js
a:bc_list,ops,none,False,148,broadcasts,src/bot/bot.js,32978,src/bot/domains/broadcasts/callbacks.js
a:bc_pause,ops,require_redis,False,149,broadcasts,src/bot/bot.js,33008,src/bot/domains/broadcasts/callbacks.js
a:bc_resume,ops,require_redis,False,150,broadcasts,src/bot/bot.js,33023,src/bot/domains/broadcasts/callbacks.js
a:bc_start,ops,require_redis,False,151,broadcasts,src/bot/bot.js,32572,src/bot/domains/broadcasts/callbacks.js
a:bc_start_adv,ops,require_redis,False,152,broadcasts,src/bot/bot.js,32580,src/bot/domains/broadcasts/callbacks.js
a:bc_stop,ops,require_redis,False,153,broadcasts,src/bot/bot.js,33038,src/bot/domains/broadcasts/callbacks.js
a:bc_tpl_bp,ops,require_redis,False,154,broadcasts,src/bot/bot.js,32791,src/bot/domains/broadcasts/callbacks.js
a:bc_tpl_gw,ops,require_redis,False,155,broadcasts,src/bot/bot.js,32791,src/bot/domains/broadcasts/callbacks.js
a:bc_tpl_offer,ops,require_redis,False,156,broadcasts,src/bot/bot.js,32791,src/bot/domains/broadcasts/callbacks.js
a:bc_view,ops,none,False,157,broadcasts,src/bot/bot.js,32987,src/bot/domains/broadcasts/callbacks.js
a:bc_blocked,ops,none,False,158,broadcasts,src/bot/bot.js,32997,src/bot/domains/broadcasts/callbacks.js
a:bd_fpick,edit,require_redis,False,159,brand_directory,src/bot/bot.js,25808,src/bot/domains/brands/directoryCallbacks.js
a:bd_freset,edit,require_redis,False,160,brand_directory,src/bot/bot.js,25901,src/bot/domains/brands/directoryCallbacks.js
a:bd_fset,edit,require_redis,False,161,brand_directory,src/bot/bot.js,25818,src/bot/domains/brands/directoryCallbacks.js
a:bd_mclear,edit,require_redis,False,162,brand_directory,src/bot/bot.js,25881,src/bot/domains/brands/directoryCallbacks.js
a:bd_mdone,edit,none,False,163,brand_directory,src/bot/bot.js,25895,src/bot/domains/brands/directoryCallbacks.js
a:bd_mpick,edit,require_redis,False,164,brand_directory,src/bot/bot.js,25850,src/bot/domains/brands/directoryCallbacks.js
a:bd_mt,edit,require_redis,False,165,brand_directory,src/bot/bot.js,25860,src/bot/domains/brands/directoryCallbacks.js
a:blead_cancel,edit,none,False,166,leads,src/bot/bot.js,27532,src/bot/domains/leads/callbacks.js
a:blead_reply,edit,require_redis,False,167,leads,src/bot/bot.js,27510,src/bot/domains/leads/callbacks.js
a:blead_view,edit,none,False,168,leads,src/bot/bot.js,27498,src/bot/domains/leads/callbacks.js
a:bm_add_username,edit,require_redis,False,169,brand_management,src/bot/bot.js,29634,src/bot/domains/brands/managementCallbacks.js
a:bm_help,edit,none,False,170,brand_management,src/bot/bot.js,26053,src/bot/domains/brands/managementCallbacks.js
a:bm_home,edit,none,False,171,brand_management,src/bot/bot.js,26018,src/bot/domains/brands/managementCallbacks.js
a:bm_invite,edit,require_redis,False,172,brand_management,src/bot/bot.js,29604,src/bot/domains/brands/managementCallbacks.js
a:bm_list,edit,none,False,173,brand_management,src/bot/bot.js,29648,src/bot/domains/brands/managementCallbacks.js
a:bm_mode_set,edit,none,False,176,brand_management,src/bot/bot.js,26075,src/bot/domains/brands/managementCallbacks.js
a:bm_pick_brand,edit,none,False,177,brand_management,src/bot/bot.js,26089,src/bot/domains/brands/managementCallbacks.js
a:bm_rm_ok,edit,require_redis,False,178,brand_management,src/bot/bot.js,29692,src/bot/domains/brands/managementCallbacks.js
a:bm_rm_q,edit,none,False,179,brand_management,src/bot/bot.js,29675,src/bot/domains/brands/managementCallbacks.js
a:bm_set_brand,edit,none,False,180,brand_management,src/bot/bot.js,26103,src/bot/domains/brands/managementCallbacks.js
a:bms,edit,none,False,181,brand_management,src/bot/bot.js,26103,src/bot/domains/brands/managementCallbacks.js
a:brand_app_accept,edit,queue_first,False,183,applications,src/bot/bot.js,27905,src/bot/domains/applications/callbacks.js
