label,occurrences,files,functions,callbacks_sample,flags,source_sample
❌ Отказ,1,src/bot/bot.js,renderLeadView,a:lead_tpl_send|id:${…}|k:decline|w:${…}|s:${…}|p:${…}${…},,src/bot/bot.js:12422
❌ Отмена ввода,1,src/bot/bot.js,renderBrandApply,a:brand_apply_cancel|u:${…}|p:${…},,src/bot/bot.js:7846
❌ Сброс поиска,1,src/bot/bot.js,renderBrandDealsList,a:brand_deals_search_clear|ws:0|st:${…}|p:${…},destructive_or_reset,src/bot/bot.js:13490
❌ Снять с себя,1,src/bot/bot.js,renderLeadView,${…}|do:un,,src/bot/bot.js:12436
➕ Invite link,1,src/bot/bot.js,renderWsEditors,a:ws_editor_invite|ws:${…},,src/bot/bot.js:15462
➕ Добавить каналы,1,src/bot/bot.js,folderViewKb,a:folder_add|ws:${…}|f:${…},,src/bot/bot.js:15388
➕ Добавить куратора,1,src/bot/bot.js,curManageKb,a:cur_add_username|ws:${…},,src/bot/bot.js:5506
➕ Добавить модератора,1,src/bot/bot.js,renderAdminModerators,a:admin_mod_add,,src/bot/bot.js:40270
➕ Модератор,1,src/bot/bot.js,renderAdminSystem,a:admin_mod_add,,src/bot/bot.js:38911
➕ Новая рассылка,1,src/bot/cron.js,broadcastTick,a:bc_start,,src/bot/cron.js:1749
➕ Новый шаблон,1,src/bot/bot.js,renderAdminDmTemplates,a:admin_umsg_tpl_add|p:${…},,src/bot/bot.js:39718
➕ Создать офер,1,src/bot/bot.js,bxMenuKb,a:bx_new|ws:${…},spelling_error,src/bot/bot.js:6213
➕ Ссылка,1,src/bot/bot.js,bxProofsKb,a:bx_proof_link|ws:${…}|t:${…}${…},,src/bot/bot.js:18005
➖ Удалить каналы,1,src/bot/bot.js,folderViewKb,a:folder_remove|ws:${…}|f:${…},destructive_or_reset,src/bot/bot.js:15389
➡️ Без кнопок → аудитория,1,src/bot/bot.js,getBot,,,src/bot/bot.js:19937
⬅️ #${…},1,src/bot/bot.js,renderBroadcastBlocked,,,src/bot/bot.js:38250
⬅️ В админку,1,src/bot/bot.js,renderOfficialQueue,a:admin,,src/bot/bot.js:17628
⬅️ Вернуться к витрине,1,src/bot/bot.js,renderBrandPassTopup,a:wsp_open|ws:${…}|m:ro,,src/bot/bot.js:18084
